10
Samuel Stanley
You Stanley
Samuel Alice
Stanley Alice
Alice Ruslan
=====
You Beth
Beth Candace
Candace You
Ruslan Ben
=====
Ruslan Vlad
Vlad Alice
Alice Bob
Steven Vlad
Bob Ruslan
Daniel Steven
Wesley Matthew
Matthew You
Wesley Daniel
=====
You Sam
Sam Ben
Ben Wil
Wil Dave
Dave Ariel
Ariel Abby
Abby Norm
Ariel Steve
Steve Ulysses
Bob Dave
Bob Norm
Norm Al
Al Phil
Phil Ulysses
Ulysses Ruslan
Bob Wil
Sam Al
Phil Dave
Norm Ulysses
Ben Alfred
Alred Phil
=====
You Ruslan
=====
You Sam
Sam Ben
Ben Bob
Bob Jill
Jill Jack
Jack Anthony
Anthony Howard
Howard Ruslan
Ruslan Jack
Jill Sam
You Bob
Ben Anthony
Howard Edward
Edward George
George Marissa
Marissa Ben
George Howard
Edward Jack
Jill Marissa
Emily Sarah
Sarah Jill
Emily Howard
=====
Sam Ben
You Ben
You Sam
Sam Wil
Sam Don
Ben Jon
Ben Jim
Ruslan Eduardo
Eduardo Wil
Eduardo Don
Eduardo Jon
Eduardo Jim
=====
You A
A B
B C
C D
D E
E F
F G
G Ruslan
=====
Ruslan Jimmy
Jimmy Kim
Kim Howard
Howard Fred
Fred Kim
Jimmy Howard
Daphne Ruslan
Daphne Fred
Sam You
You Ben
Sam Ben
=====
You A
A B
B G
N W
L K
O I
U Y
N B
G A
S F
J K
L H
H G
E Q
A L
L O
O D
S M
L K
A O
I Y
J E
L P
M H
H G
H S
Z I
O U
I U
P L
V H
M P
J D
S J
E H
R T
U O
M B
V C
S D
H A
X W
W M
Q M
W Ruslan
=====
